cr_year,esac_publisher,collection,articles,oa_articles,oa_prop,all_journals,oa_journals,journal_prop
2020,Trans Tech Publications,Global,4747,16,0.0033705498209395408,11,5,0.45454545454545453
2020,Walter de Gruyter,Global,20271,1293,0.06378570371466627,359,231,0.6434540389972145
2020,White Horse Press,Global,133,0,0,3,0,0
2020,Wiley,Global,220624,31056,0.14076437740227718,1405,1308,0.9309608540925267
2020,Wolters Kluwer Health,Global,76737,1998,0.02603698346299699,283,201,0.7102473498233216
2020,World Scientific,Global,9046,0,0,109,0,0
2021,AIP Publishing,Global,16208,0,0,26,0,0
2021,Akadémiai Kiadó,Global,1033,492,0.4762826718296225,24,23,0.9583333333333334
2021,American Chemical Society,Global,63877,6351,0.09942545830267545,66,64,0.9696969696969697
2021,American Meteorological Society,Global,2178,66,0.030303030303030304,10,9,0.9
2021,American Physical Society,Global,19041,3478,0.18265847381965233,10,9,0.9
2021,American Physiological Society,Global,2271,0,0,12,0,0
2021,American Psychological Association,Global,7793,103,0.013216989606056717,101,29,0.2871287128712871
2021,Association for Computing Machinery,Global,6368,142,0.02229899497487437,88,6,0.06818181818181818
2021,BMJ Publishing,Global,11087,1797,0.1620817173265987,41,40,0.975609756097561
2021,Bentham Science Publishers,Global,10120,1109,0.10958498023715416,117,110,0.9401709401709402
2021,Bioscientifica,Global,645,74,0.11472868217054263,5,5,1
2021,Brill,Global,7447,759,0.1019202363367799,313,196,0.6261980830670927
2021,Bristol University Press,Global,480,34,0.07083333333333333,15,11,0.7333333333333333
2021,CSIRO,Global,1990,0,0,18,0,0
2021,Cambridge University Press,Global,28755,5452,0.1896018083811511,359,330,0.9192200557103064
2021,Canadian Science Publishing,Global,2103,0,0,20,0,0
2021,Cold Spring Harbor Laboratory Press,Global,317,0,0,2,0,0
2021,Company of Biologists,Global,1495,292,0.19531772575250836,3,3,1
2021,EDP Sciences,Global,4912,1367,0.27829804560260585,24,21,0.875
2021,Edward Elgar Publishing,Global,171,19,0.1111111111111111,11,8,0.7272727272727273
2021,Elsevier,Global,592148,46397,0.07835372238021576,1950,1788,0.916923076923077
2021,Emerald,Global,19061,15,7.869471696133467e-4,321,1,0.003115264797507788
2021,European Respiratory Society,Global,553,185,0.3345388788426763,1,1,1
2021,Future Science Group,Global,2234,378,0.1692032229185318,18,17,0.9444444444444444
2021,Hogrefe,Global,945,181,0.19153439153439153,28,25,0.8928571428571429
2021,IEEE,Global,60404,2189,0.036239321899211974,196,147,0.75
2021,IOP Publishing,Global,27438,3139,0.11440338217071215,74,57,0.7702702702702703
2021,IOS Press,Global,6289,531,0.08443313722372396,69,38,0.5507246376811594
2021,IWA Publishing,Global,96,94,0.9791666666666666,1,1,1
2021,Inter-Research Science Publisher,Global,542,153,0.2822878228782288,4,4,1
2021,John Benjamins Publishing,Global,1818,77,0.04235423542354235,86,42,0.4883720930232558
2021,Karger,Global,5414,784,0.14480975249353528,67,63,0.9402985074626866
2021,"Mary Ann Liebert, Inc.",Global,7055,0,0,66,0,0
2021,Microbiology Society,Global,1025,272,0.2653658536585366,4,4,1
2021,National Academy of Sciences,Global,4189,1615,0.38553354022439723,1,1,1
2021,Optica,Global,3981,3,7.535795026375283e-4,5,2,0.4
2021,Oxford University Press,Global,58671,9197,0.15675546692573844,402,369,0.917910447761194
2021,Portland Press,Global,832,509,0.6117788461538461,5,5,1
2021,Radiological Society of North America,Global,747,0,0,3,0,0
2021,Rockefeller University Press,Global,613,119,0.19412724306688417,2,2,1
2021,Royal College of General Practitioners,Global,364,104,0.2857142857142857,1,1,1
2021,Royal Irish Academy,Global,230,23,0.1,6,5,0.8333333333333334
