cr_year,esac_publisher,collection,cc,cc_articles,articles,prop
2023,IEEE,de,CC BY-ND,0,0,0
2023,IOP Publishing,de,CC BY-ND,0,0,0
2023,Oxford University Press,de,CC BY-ND,0,0,0
2023,Royal Society of Chemistry,de,CC BY-ND,0,0,0
2023,Sage,de,CC BY-ND,0,0,0
2023,Taylor and Francis,de,CC BY-ND,1,2543,3.9323633503735744e-4
2023,Wolters Kluwer Health,de,CC BY-ND,4,1021,0.0039177277179236044
2024,American Chemical Society,de,CC BY-ND,0,0,0
2024,American Physical Society,de,CC BY-ND,0,0,0
2024,Cambridge University Press,de,CC BY-ND,0,0,0
2024,IEEE,de,CC BY-ND,0,0,0
2024,IOP Publishing,de,CC BY-ND,0,0,0
2024,Oxford University Press,de,CC BY-ND,0,0,0
2024,Royal Society of Chemistry,de,CC BY-ND,0,0,0
2024,Sage,de,CC BY-ND,0,0,0
2024,Taylor and Francis,de,CC BY-ND,0,0,0
2024,Wolters Kluwer Health,de,CC BY-ND,0,0,0
2017,American Chemical Society,de,CC BY-NC-ND,1,2514,3.977724741447892e-4
2017,American Physical Society,de,CC BY-NC-ND,0,0,0
2017,Cambridge University Press,de,CC BY-NC-ND,0,0,0
2017,IEEE,de,CC BY-NC-ND,0,0,0
2017,IOP Publishing,de,CC BY-NC-ND,0,0,0
2017,Oxford University Press,de,CC BY-NC-ND,15,3044,0.00492772667542707
2017,Royal Society of Chemistry,de,CC BY-NC-ND,0,0,0
2017,Sage,de,CC BY-NC-ND,2,1424,0.0014044943820224719
2017,Taylor and Francis,de,CC BY-NC-ND,106,2992,0.03542780748663102
2017,Wolters Kluwer Health,de,CC BY-NC-ND,30,1626,0.01845018450184502
2018,American Chemical Society,de,CC BY-NC-ND,2,2657,7.527286413248024e-4
2018,American Physical Society,de,CC BY-NC-ND,0,0,0
2018,Cambridge University Press,de,CC BY-NC-ND,3,760,0.003947368421052632
2018,IEEE,de,CC BY-NC-ND,0,0,0
2018,IOP Publishing,de,CC BY-NC-ND,23,1345,0.017100371747211896
2018,Oxford University Press,de,CC BY-NC-ND,22,3179,0.006920415224913495
2018,Royal Society of Chemistry,de,CC BY-NC-ND,0,0,0
2018,Sage,de,CC BY-NC-ND,1,1438,6.954102920723226e-4
2018,Taylor and Francis,de,CC BY-NC-ND,70,2819,0.024831500532103583
2018,Wolters Kluwer Health,de,CC BY-NC-ND,30,1399,0.021443888491779844
2019,American Chemical Society,de,CC BY-NC-ND,6,2798,0.002144388849177984
2019,American Physical Society,de,CC BY-NC-ND,0,0,0
2019,Cambridge University Press,de,CC BY-NC-ND,13,648,0.020061728395061727
2019,IEEE,de,CC BY-NC-ND,0,0,0
2019,IOP Publishing,de,CC BY-NC-ND,22,1100,0.02
2019,Oxford University Press,de,CC BY-NC-ND,31,2136,0.01451310861423221
2019,Royal Society of Chemistry,de,CC BY-NC-ND,0,0,0
2019,Sage,de,CC BY-NC-ND,0,0,0
2019,Taylor and Francis,de,CC BY-NC-ND,186,3076,0.06046814044213264
2019,Wolters Kluwer Health,de,CC BY-NC-ND,47,1448,0.0324585635359116
2020,American Chemical Society,de,CC BY-NC-ND,25,2687,0.009304056568663937
2020,American Physical Society,de,CC BY-NC-ND,0,0,0
2020,Cambridge University Press,de,CC BY-NC-ND,24,759,0.03162055335968379
2020,IEEE,de,CC BY-NC-ND,3,1235,0.0024291497975708503
2020,IOP Publishing,de,CC BY-NC-ND,18,1303,0.013814274750575594
2020,Oxford University Press,de,CC BY-NC-ND,68,2279,0.0298376480912681
2020,Royal Society of Chemistry,de,CC BY-NC-ND,0,0,0
2020,Sage,de,CC BY-NC-ND,2,1538,0.0013003901170351106
2020,Taylor and Francis,de,CC BY-NC-ND,240,3018,0.07952286282306163
2020,Wolters Kluwer Health,de,CC BY-NC-ND,50,1444,0.03462603878116344
2021,American Chemical Society,de,CC BY-NC-ND,263,2684,0.09798807749627422
2021,American Physical Society,de,CC BY-NC-ND,0,0,0
2021,Cambridge University Press,de,CC BY-NC-ND,23,785,0.02929936305732484
2021,IEEE,de,CC BY-NC-ND,23,1386,0.016594516594516596
2021,IOP Publishing,de,CC BY-NC-ND,18,1019,0.017664376840039256
2021,Oxford University Press,de,CC BY-NC-ND,109,2273,0.047954245490541135
2021,Royal Society of Chemistry,de,CC BY-NC-ND,0,0,0
2021,Sage,de,CC BY-NC-ND,24,1521,0.015779092702169626
2021,Taylor and Francis,de,CC BY-NC-ND,433,3059,0.14154952598888526
2021,Wolters Kluwer Health,de,CC BY-NC-ND,85,1201,0.07077435470441298
