cr_year,esac_publisher,collection,cc,cc_articles,articles,prop
2021,IOP (TIB),global,CC BY-NC-SA,0,0,0
2021,Karger (BSB),global,CC BY-NC-SA,0,0,0
2021,Nature (MPDL),global,CC BY-NC-SA,0,0,0
2021,Portland Press (TIB),global,CC BY-NC-SA,0,0,0
2021,RSC (TIB),global,CC BY-NC-SA,0,0,0
2021,Sage (BSB),global,CC BY-NC-SA,0,0,0
2021,TaylorFrancis (ZBW),global,CC BY-NC-SA,0,0,0
2022,BMJ (BSB),global,CC BY-NC-SA,0,0,0
2022,CUP (BSB),global,CC BY-NC-SA,234,24119,0.009701894771756706
2022,ECS (TIB),global,CC BY-NC-SA,0,0,0
2022,IOP (TIB),global,CC BY-NC-SA,0,0,0
2022,Karger (BSB),global,CC BY-NC-SA,0,0,0
2022,Nature (MPDL),global,CC BY-NC-SA,0,0,0
2022,Portland Press (TIB),global,CC BY-NC-SA,0,0,0
2022,RSC (TIB),global,CC BY-NC-SA,0,0,0
2022,Sage (BSB),global,CC BY-NC-SA,1,63017,1.5868733833727408e-5
2022,TaylorFrancis (ZBW),global,CC BY-NC-SA,0,0,0
2023,BMJ (BSB),global,CC BY-NC-SA,0,0,0
2023,CUP (BSB),global,CC BY-NC-SA,194,18266,0.010620825577575824
2023,ECS (TIB),global,CC BY-NC-SA,0,0,0
2023,IOP (TIB),global,CC BY-NC-SA,0,0,0
2023,Karger (BSB),global,CC BY-NC-SA,0,0,0
2023,Nature (MPDL),global,CC BY-NC-SA,0,0,0
2023,Portland Press (TIB),global,CC BY-NC-SA,0,0,0
2023,RSC (TIB),global,CC BY-NC-SA,0,0,0
2023,Sage (BSB),global,CC BY-NC-SA,1,49227,2.031405529485851e-5
2023,TaylorFrancis (ZBW),global,CC BY-NC-SA,0,0,0
2017,BMJ (BSB),global,CC BY-ND,0,0,0
2017,CUP (BSB),global,CC BY-ND,0,0,0
2017,ECS (TIB),global,CC BY-ND,0,0,0
2017,IOP (TIB),global,CC BY-ND,0,0,0
2017,Karger (BSB),global,CC BY-ND,0,0,0
2017,Nature (MPDL),global,CC BY-ND,0,0,0
2017,Portland Press (TIB),global,CC BY-ND,0,0,0
2017,RSC (TIB),global,CC BY-ND,0,0,0
2017,Sage (BSB),global,CC BY-ND,0,0,0
2017,TaylorFrancis (ZBW),global,CC BY-ND,0,0,0
2018,BMJ (BSB),global,CC BY-ND,0,0,0
2018,CUP (BSB),global,CC BY-ND,0,0,0
2018,ECS (TIB),global,CC BY-ND,0,0,0
2018,IOP (TIB),global,CC BY-ND,0,0,0
2018,Karger (BSB),global,CC BY-ND,0,0,0
2018,Nature (MPDL),global,CC BY-ND,0,0,0
2018,Portland Press (TIB),global,CC BY-ND,0,0,0
2018,RSC (TIB),global,CC BY-ND,0,0,0
2018,Sage (BSB),global,CC BY-ND,0,0,0
2018,TaylorFrancis (ZBW),global,CC BY-ND,0,0,0
2019,BMJ (BSB),global,CC BY-ND,0,0,0
2019,CUP (BSB),global,CC BY-ND,0,0,0
2019,ECS (TIB),global,CC BY-ND,0,0,0
2019,IOP (TIB),global,CC BY-ND,0,0,0
2019,Karger (BSB),global,CC BY-ND,0,0,0
2019,Nature (MPDL),global,CC BY-ND,0,0,0
2019,Portland Press (TIB),global,CC BY-ND,0,0,0
2019,RSC (TIB),global,CC BY-ND,0,0,0
2019,Sage (BSB),global,CC BY-ND,0,0,0
2019,TaylorFrancis (ZBW),global,CC BY-ND,0,0,0
2020,BMJ (BSB),global,CC BY-ND,0,0,0
2020,CUP (BSB),global,CC BY-ND,0,0,0
2020,ECS (TIB),global,CC BY-ND,0,0,0
2020,IOP (TIB),global,CC BY-ND,0,0,0
2020,Karger (BSB),global,CC BY-ND,0,0,0
2020,Nature (MPDL),global,CC BY-ND,0,0,0
2020,Portland Press (TIB),global,CC BY-ND,0,0,0
2020,RSC (TIB),global,CC BY-ND,0,0,0
2020,Sage (BSB),global,CC BY-ND,0,0,0
2020,TaylorFrancis (ZBW),global,CC BY-ND,1,13640,7.331378299120235e-5
2021,BMJ (BSB),global,CC BY-ND,0,0,0
2021,CUP (BSB),global,CC BY-ND,1,26609,3.758126949528355e-5
2021,ECS (TIB),global,CC BY-ND,0,0,0
2021,IOP (TIB),global,CC BY-ND,0,0,0
2021,Karger (BSB),global,CC BY-ND,0,0,0
2021,Nature (MPDL),global,CC BY-ND,0,0,0
2021,Portland Press (TIB),global,CC BY-ND,0,0,0
2021,RSC (TIB),global,CC BY-ND,0,0,0
2021,Sage (BSB),global,CC BY-ND,0,0,0
2021,TaylorFrancis (ZBW),global,CC BY-ND,0,0,0
2022,BMJ (BSB),global,CC BY-ND,0,0,0
2022,CUP (BSB),global,CC BY-ND,6,24119,2.4876653260914633e-4
2022,ECS (TIB),global,CC BY-ND,0,0,0
2022,IOP (TIB),global,CC BY-ND,0,0,0
2022,Karger (BSB),global,CC BY-ND,0,0,0
2022,Nature (MPDL),global,CC BY-ND,0,0,0
2022,Portland Press (TIB),global,CC BY-ND,0,0,0
2022,RSC (TIB),global,CC BY-ND,0,0,0
2022,Sage (BSB),global,CC BY-ND,0,0,0
2022,TaylorFrancis (ZBW),global,CC BY-ND,0,0,0
2023,BMJ (BSB),global,CC BY-ND,0,0,0
2023,CUP (BSB),global,CC BY-ND,9,18266,4.92718712361765e-4
2023,ECS (TIB),global,CC BY-ND,0,0,0
2023,IOP (TIB),global,CC BY-ND,0,0,0
2023,Karger (BSB),global,CC BY-ND,0,0,0
2023,Nature (MPDL),global,CC BY-ND,0,0,0
2023,Portland Press (TIB),global,CC BY-ND,0,0,0
2023,RSC (TIB),global,CC BY-ND,0,0,0
2023,Sage (BSB),global,CC BY-ND,0,0,0
2023,TaylorFrancis (ZBW),global,CC BY-ND,0,0,0
2017,BMJ (BSB),global,CC BY-NC-ND,0,0,0
2017,CUP (BSB),global,CC BY-NC-ND,20,24976,8.007687379884689e-4
2017,ECS (TIB),global,CC BY-NC-ND,0,0,0
2017,IOP (TIB),global,CC BY-NC-ND,1,16306,6.132711885195633e-5
2017,Karger (BSB),global,CC BY-NC-ND,168,4609,0.036450423085267955
2017,Nature (MPDL),global,CC BY-NC-ND,0,0,0
2017,Portland Press (TIB),global,CC BY-NC-ND,46,734,0.06267029972752043
2017,RSC (TIB),global,CC BY-NC-ND,0,0,0
2017,Sage (BSB),global,CC BY-NC-ND,6,58800,1.0204081632653062e-4
2017,TaylorFrancis (ZBW),global,CC BY-NC-ND,422,12644,0.03337551407782347
2018,BMJ (BSB),global,CC BY-NC-ND,0,0,0
2018,CUP (BSB),global,CC BY-NC-ND,55,25910,0.0021227325357005018
2018,ECS (TIB),global,CC BY-NC-ND,163,1841,0.08853883758826725
2018,IOP (TIB),global,CC BY-NC-ND,0,0,0
2018,Karger (BSB),global,CC BY-NC-ND,214,4833,0.044278915787295675
2018,Nature (MPDL),global,CC BY-NC-ND,1,10754,9.298865538404315e-5
2018,Portland Press (TIB),global,CC BY-NC-ND,50,724,0.06906077348066299
2018,RSC (TIB),global,CC BY-NC-ND,0,0,0
2018,Sage (BSB),global,CC BY-NC-ND,7,58692,1.1926668029714442e-4
2018,TaylorFrancis (ZBW),global,CC BY-NC-ND,194,12366,0.015688177260229662
2019,BMJ (BSB),global,CC BY-NC-ND,0,0,0
2019,CUP (BSB),global,CC BY-NC-ND,90,25934,0.003470347805968998
2019,ECS (TIB),global,CC BY-NC-ND,185,1999,0.09254627313656828
2019,IOP (TIB),global,CC BY-NC-ND,0,0,0
2019,Karger (BSB),global,CC BY-NC-ND,201,4774,0.04210305823209049
2019,Nature (MPDL),global,CC BY-NC-ND,0,0,0
2019,Portland Press (TIB),global,CC BY-NC-ND,66,719,0.0917941585535466
2019,RSC (TIB),global,CC BY-NC-ND,0,0,0
2019,Sage (BSB),global,CC BY-NC-ND,5,58291,8.57765349710933e-5
2019,TaylorFrancis (ZBW),global,CC BY-NC-ND,722,13572,0.05319776009431182
2020,BMJ (BSB),global,CC BY-NC-ND,1,7294,1.3709898546750753e-4
2020,CUP (BSB),global,CC BY-NC-ND,204,27756,0.007349762213575443
2020,ECS (TIB),global,CC BY-NC-ND,224,2048,0.109375
2020,IOP (TIB),global,CC BY-NC-ND,1,17651,5.665401393688743e-5
2020,Karger (BSB),global,CC BY-NC-ND,168,4757,0.03531637586714316
2020,Nature (MPDL),global,CC BY-NC-ND,0,0,0
2020,Portland Press (TIB),global,CC BY-NC-ND,116,862,0.1345707656612529
2020,RSC (TIB),global,CC BY-NC-ND,0,0,0
2020,Sage (BSB),global,CC BY-NC-ND,17,65628,2.590357774120802e-4
2020,TaylorFrancis (ZBW),global,CC BY-NC-ND,839,13640,0.061510263929618766
2021,BMJ (BSB),global,CC BY-NC-ND,0,0,0
2021,CUP (BSB),global,CC BY-NC-ND,362,26609,0.013604419557292646
2021,ECS (TIB),global,CC BY-NC-ND,185,2059,0.08984944147644487
2021,IOP (TIB),global,CC BY-NC-ND,4,17074,2.3427433524657375e-4
2021,Karger (BSB),global,CC BY-NC-ND,5,5116,9.77326035965598e-4
2021,Nature (MPDL),global,CC BY-NC-ND,0,0,0
2021,Portland Press (TIB),global,CC BY-NC-ND,122,832,0.1466346153846154
2021,RSC (TIB),global,CC BY-NC-ND,0,0,0
2021,Sage (BSB),global,CC BY-NC-ND,34,64053,5.308104226187688e-4
2021,TaylorFrancis (ZBW),global,CC BY-NC-ND,1707,14290,0.11945416375087474
2022,BMJ (BSB),global,CC BY-NC-ND,0,0,0
2022,CUP (BSB),global,CC BY-NC-ND,414,24119,0.017164890750031095
2022,ECS (TIB),global,CC BY-NC-ND,115,2012,0.05715705765407555
2022,IOP (TIB),global,CC BY-NC-ND,0,0,0
2022,Karger (BSB),global,CC BY-NC-ND,26,3916,0.006639427987742594
2022,Nature (MPDL),global,CC BY-NC-ND,0,0,0
2022,Portland Press (TIB),global,CC BY-NC-ND,57,564,0.10106382978723404
2022,RSC (TIB),global,CC BY-NC-ND,0,0,0
2022,Sage (BSB),global,CC BY-NC-ND,17,63017,2.697684751733659e-4
2022,TaylorFrancis (ZBW),global,CC BY-NC-ND,1689,13109,0.1288427797696239
2023,BMJ (BSB),global,CC BY-NC-ND,0,0,0
2023,CUP (BSB),global,CC BY-NC-ND,330,18266,0.01806635278659805
2023,ECS (TIB),global,CC BY-NC-ND,77,1419,0.05426356589147287
2023,IOP (TIB),global,CC BY-NC-ND,0,0,0
2023,Karger (BSB),global,CC BY-NC-ND,18,3199,0.005626758361988122
2023,Nature (MPDL),global,CC BY-NC-ND,0,0,0
2023,Portland Press (TIB),global,CC BY-NC-ND,45,461,0.09761388286334056
2023,RSC (TIB),global,CC BY-NC-ND,0,0,0
2023,Sage (BSB),global,CC BY-NC-ND,49,49227,9.953887094480672e-4
2023,TaylorFrancis (ZBW),global,CC BY-NC-ND,1221,10306,0.11847467494663302
