cr_year,esac_publisher,agreement,lead,collection,articles,oa_articles,oa_prop,all_journals,oa_journals,journal_prop
2018,BMJ (BSB),BMJ,BSB,Germany,161,1,0.006211180124223602,21,1,0.047619047619047616
2018,CUP (BSB),CUP,BSB,Germany,729,37,0.05075445816186557,209,27,0.1291866028708134
2018,De Gruyter (SUB Göttingen),De Gruyter,SUB Göttingen,Germany,260,1,0.0038461538461538464,68,1,0.014705882352941176
2018,De Gruyter (ZBW),De Gruyter,ZBW,Germany,140,8,0.05714285714285714,27,3,0.1111111111111111
2018,ECS (TIB),ECS,TIB,Germany,130,75,0.5769230769230769,2,2,1
2018,Elsevier (DEAL),Elsevier,DEAL,Germany,16307,1062,0.0651254062672472,1476,491,0.3326558265582656
2018,Hogrefe (SUB Göttingen),Hogrefe,SUB Göttingen,Germany,321,8,0.024922118380062305,25,8,0.32
2018,IOP (TIB),IOP,TIB,Germany,1015,176,0.17339901477832512,49,42,0.8571428571428571
2018,Karger (BSB),Karger,BSB,Germany,460,14,0.030434782608695653,58,10,0.1724137931034483
2018,Nature (MPDL),Nature,MPDL,Germany,522,8,0.01532567049808429,27,3,0.1111111111111111
2018,Portland Press (TIB),Portland Press,TIB,Germany,35,8,0.22857142857142856,5,4,0.8
2018,RSC (TIB),RSC,TIB,Germany,1339,260,0.1941747572815534,36,30,0.8333333333333334
2018,SPIE (TIB),SPIE,TIB,Germany,44,0,0,8,0,0
2018,Sage (BSB),Sage,BSB,Germany,1381,10,0.00724112961622013,430,10,0.023255813953488372
2018,Springer Hybrid (DEAL),Springer Hybrid,DEAL,Germany,13329,1101,0.08260184559981994,1353,507,0.37472283813747226
2018,TaylorFrancis (ZBW),TaylorFrancis,ZBW,Germany,517,56,0.10831721470019343,143,36,0.2517482517482518
2018,Thieme (ZB MED),Thieme,ZB MED,Germany,85,3,0.03529411764705882,5,2,0.4
2018,Wiley Hybrid (DEAL),Wiley Hybrid,DEAL,Germany,10939,701,0.06408264009507268,990,279,0.2818181818181818
2019,ACM (hebis),ACM,hebis,Germany,160,0,0,39,0,0
2019,AIP (TIB),AIP,TIB,Germany,956,0,0,23,0,0
2019,BMJ (BSB),BMJ,BSB,Germany,173,16,0.09248554913294797,23,7,0.30434782608695654
2019,CUP (BSB),CUP,BSB,Germany,608,211,0.3470394736842105,187,103,0.5508021390374331
2019,De Gruyter (SUB Göttingen),De Gruyter,SUB Göttingen,Germany,284,11,0.03873239436619718,70,5,0.07142857142857142
2019,De Gruyter (ZBW),De Gruyter,ZBW,Germany,171,29,0.1695906432748538,25,7,0.28
2019,ECS (TIB),ECS,TIB,Germany,115,90,0.782608695652174,2,2,1
2019,Elsevier (DEAL),Elsevier,DEAL,Germany,15754,1248,0.07921797638694934,1473,562,0.38153428377460963
2019,Hogrefe (SUB Göttingen),Hogrefe,SUB Göttingen,Germany,348,26,0.07471264367816093,26,11,0.4230769230769231
2019,IOP (TIB),IOP,TIB,Germany,875,299,0.3417142857142857,53,48,0.9056603773584906
2019,Karger (BSB),Karger,BSB,Germany,433,15,0.03464203233256351,56,11,0.19642857142857142
2019,Nature (MPDL),Nature,MPDL,Germany,563,4,0.007104795737122558,29,3,0.10344827586206896
2019,Portland Press (TIB),Portland Press,TIB,Germany,48,10,0.20833333333333334,5,4,0.8
2019,RSC (TIB),RSC,TIB,Germany,1331,393,0.29526671675432004,36,34,0.9444444444444444
2019,SPIE (TIB),SPIE,TIB,Germany,38,0,0,6,0,0
2019,Sage (BSB),Sage,BSB,Germany,1449,100,0.06901311249137336,454,75,0.16519823788546256
2019,Springer Hybrid (DEAL),Springer Hybrid,DEAL,Germany,13301,1288,0.09683482444928952,1379,558,0.40464104423495284
2019,TaylorFrancis (ZBW),TaylorFrancis,ZBW,Germany,569,92,0.1616871704745167,144,42,0.2916666666666667
