esac_publisher,cr_year,country_name,cc_total,articles,prop
All,2018,Kyrgyzstan,0,27,0
All,2018,Cambodia,2,63,0.031746031746031744
All,2018,St. Kitts & Nevis,6,26,0.23076923076923078
All,2018,North Korea,2,11,0.18181818181818182
All,2018,South Korea,576,25838,0.022292747116649896
All,2018,Kuwait,8,404,0.019801980198019802
All,2018,Cayman Islands,0,1,0
All,2018,Kazakhstan,6,326,0.018404907975460124
All,2018,Laos,1,14,0.07142857142857142
All,2018,Lebanon,20,824,0.024271844660194174
All,2018,St. Lucia,0,1,0
All,2018,Liechtenstein,2,24,0.08333333333333333
All,2018,Sri Lanka,9,339,0.02654867256637168
All,2018,Liberia,0,5,0
All,2018,Lesotho,1,6,0.16666666666666666
All,2018,Lithuania,17,695,0.02446043165467626
All,2018,Luxembourg,44,369,0.11924119241192412
All,2018,Latvia,10,207,0.04830917874396135
All,2018,Libya,1,50,0.02
All,2018,Morocco,18,1705,0.010557184750733138
All,2018,Monaco,0,39,0
All,2018,Moldova,2,54,0.037037037037037035
All,2018,Montenegro,0,53,0
All,2018,Madagascar,2,32,0.0625
All,2018,North Macedonia,4,131,0.030534351145038167
All,2018,Mali,6,40,0.15
All,2018,Myanmar (Burma),2,43,0.046511627906976744
All,2018,Mongolia,2,70,0.02857142857142857
All,2018,Macao SAR China,1,470,0.002127659574468085
All,2018,Northern Mariana Islands,0,1,0
All,2018,Martinique,0,34,0
All,2018,Mauritania,0,11,0
All,2018,Montserrat,0,2,0
All,2018,Malta,6,202,0.0297029702970297
All,2018,Mauritius,1,70,0.014285714285714285
All,2018,Maldives,0,6,0
All,2018,Malawi,13,74,0.17567567567567569
All,2018,Mexico,111,5975,0.018577405857740585
All,2018,Malaysia,82,5936,0.013814016172506738
All,2018,Mozambique,5,44,0.11363636363636363
All,2018,Namibia,3,30,0.1
All,2018,New Caledonia,1,37,0.02702702702702703
All,2018,Niger,3,31,0.0967741935483871
All,2018,Nigeria,52,1504,0.034574468085106384
All,2018,Nicaragua,0,11,0
All,2018,Netherlands,5483,16699,0.32834301455176956
All,2018,Norway,664,5131,0.12940947183784837
All,2018,Nepal,5,179,0.027932960893854747
All,2018,New Zealand,201,4137,0.048585931834662796
All,2018,Oman,8,299,0.026755852842809364
All,2018,Panama,7,84,0.08333333333333333
All,2018,Peru,25,368,0.06793478260869565
All,2018,French Polynesia,1,33,0.030303030303030304
All,2018,Papua New Guinea,0,14,0
All,2018,Philippines,21,556,0.03776978417266187
All,2018,Pakistan,53,4137,0.012811215856901136
All,2018,Poland,2205,11045,0.19963784517881394
All,2018,Puerto Rico,13,222,0.05855855855855856
All,2018,Palestinian Territories,2,138,0.014492753623188406
All,2018,Portugal,148,6374,0.023219328522121118
All,2018,Paraguay,0,34,0
All,2018,Qatar,29,599,0.048414023372287146
All,2018,Réunion,0,43,0
All,2018,Romania,52,1879,0.027674294837679615
All,2018,Serbia,24,1663,0.014431749849669273
All,2018,Russia,190,11914,0.015947624643276818
All,2018,Rwanda,7,61,0.11475409836065574
All,2018,Saudi Arabia,107,3942,0.027143581938102485
All,2018,Seychelles,0,3,0
All,2018,Sudan,2,102,0.0196078431372549
All,2018,Sweden,2680,10076,0.26597856292179434
All,2018,Singapore,191,5499,0.03473358792507729
All,2018,Slovenia,90,1211,0.07431874483897605
All,2018,Svalbard & Jan Mayen,0,1,0
All,2018,Slovakia,54,1337,0.04038893044128646
All,2018,Sierra Leone,1,4,0.25
All,2018,San Marino,0,5,0
All,2018,Senegal,5,119,0.04201680672268908
All,2018,Somalia,0,1,0
All,2018,Suriname,0,8,0
All,2018,South Sudan,0,42,0
All,2018,São Tomé & Príncipe,0,1,0
All,2018,El Salvador,0,3,0
All,2018,Syria,0,76,0
All,2018,Eswatini,1,7,0.14285714285714285
All,2018,Chad,0,1,0
All,2018,Togo,1,36,0.027777777777777776
All,2018,Thailand,79,3913,0.020189113212369027
All,2018,Tajikistan,1,35,0.02857142857142857
All,2018,Timor-Leste,0,6,0
All,2018,Turkmenistan,0,2,0
All,2018,Tunisia,25,3523,0.00709622480840193
All,2018,Tonga,0,1,0
All,2018,Turkey,99,12346,0.008018791511420703
All,2018,Trinidad & Tobago,3,87,0.034482758620689655
All,2018,Taiwan,204,9083,0.022459539799625675
All,2018,Tanzania,27,171,0.15789473684210525
All,2018,Ukraine,25,1478,0.016914749661705007
All,2018,Uganda,25,170,0.14705882352941177
All,2018,United States,7388,204664,0.03609819020443263
All,2018,Uruguay,6,401,0.014962593516209476
All,2018,Uzbekistan,4,124,0.03225806451612903
All,2018,Vatican City,0,2,0
All,2018,St. Vincent & Grenadines,0,1,0
All,2018,Venezuela,3,204,0.014705882352941176
All,2018,U.S. Virgin Islands,0,6,0
All,2018,Vietnam,27,1808,0.014933628318584071
All,2018,Vanuatu,0,7,0
All,2018,Samoa,0,2,0
All,2018,Yemen,2,81,0.024691358024691357
All,2018,Mayotte,0,1,0
All,2018,South Africa,427,5460,0.0782051282051282
All,2018,Zambia,6,56,0.10714285714285714
All,2018,Zimbabwe,7,153,0.0457516339869281
All,2019,United Arab Emirates,36,1131,0.03183023872679045
All,2019,Afghanistan,1,20,0.05
All,2019,Antigua & Barbuda,0,2,0
All,2019,Albania,0,91,0
All,2019,Armenia,5,150,0.03333333333333333
All,2019,Angola,1,6,0.16666666666666666
All,2019,Argentina,51,4311,0.011830201809324982
All,2019,Austria,2533,6438,0.3934451693072383
All,2019,Australia,1090,31478,0.03462735879026622
All,2019,Aruba,0,5,0
All,2019,Azerbaijan,3,119,0.025210084033613446
All,2019,Bosnia & Herzegovina,2,119,0.01680672268907563
All,2019,Barbados,2,34,0.058823529411764705
All,2019,Bangladesh,43,1318,0.032625189681335355
All,2019,Belgium,580,8137,0.07127934128057023
All,2019,Burkina Faso,4,72,0.05555555555555555
All,2019,Bulgaria,28,1042,0.026871401151631478
All,2019,Bahrain,3,75,0.04
All,2019,Burundi,1,29,0.034482758620689655
All,2019,Benin,10,109,0.09174311926605505
All,2019,Bermuda,0,5,0
All,2019,Brunei,2,75,0.02666666666666667
All,2019,Bolivia,9,49,0.1836734693877551
All,2019,Brazil,402,23986,0.01675977653631285
All,2019,Bahamas,0,6,0
All,2019,Bhutan,0,18,0
All,2019,Botswana,4,94,0.0425531914893617
All,2019,Belarus,12,254,0.047244094488188976
All,2019,Belize,0,5,0
All,2019,Canada,1361,29847,0.045599222702449156
All,2019,Congo - Kinshasa,2,61,0.03278688524590164
All,2019,Central African Republic,0,6,0
All,2019,Congo - Brazzaville,3,22,0.13636363636363635
All,2019,Switzerland,1351,10268,0.13157382158161277
All,2019,Côte d’Ivoire,6,108,0.05555555555555555
All,2019,Chile,74,2974,0.02488231338264963
All,2019,Cameroon,12,460,0.02608695652173913
All,2019,China,4253,220199,0.019314347476600713
All,2019,Colombia,71,2170,0.03271889400921659
All,2019,Costa Rica,4,154,0.025974025974025976
All,2019,Cuba,5,199,0.02512562814070352
All,2019,Cape Verde,0,4,0
All,2019,Curaçao,1,3,0.3333333333333333
All,2019,Cyprus,21,653,0.03215926493108729
All,2019,Czechia,244,4986,0.048937023666265546
All,2019,Germany,7697,48349,0.1591966741814722
All,2019,Djibouti,0,1,0
All,2019,Denmark,556,7196,0.07726514730405781
All,2019,Dominican Republic,1,24,0.041666666666666664
All,2019,Algeria,20,2011,0.009945300845350571
All,2019,Ecuador,16,409,0.039119804400977995
All,2019,Estonia,36,592,0.060810810810810814
All,2019,Egypt,86,6704,0.01282816229116945
All,2019,Eritrea,0,6,0
All,2019,Spain,1177,28428,0.041402842268186295
All,2019,Ethiopia,51,595,0.08571428571428572
All,2019,Finland,1488,5031,0.29576624925462136
All,2019,Fiji,3,71,0.04225352112676056
All,2019,Falkland Islands,0,7,0
All,2019,Micronesia (Federated States of),0,1,0
All,2019,Faroe Islands,4,24,0.16666666666666666
All,2019,France,1124,31843,0.03529818170398518
All,2019,Gabon,2,26,0.07692307692307693
All,2019,United Kingdom,11793,57701,0.20438120656487757
All,2019,Grenada,0,31,0
All,2019,Georgia,2,109,0.01834862385321101
All,2019,French Guiana,1,19,0.05263157894736842
All,2019,Ghana,40,609,0.06568144499178982
All,2019,Gibraltar,0,2,0
All,2019,Greenland,1,14,0.07142857142857142
All,2019,Gambia,3,10,0.3
All,2019,Guinea,0,11,0
All,2019,Guadeloupe,4,38,0.10526315789473684
All,2019,Greece,112,4831,0.023183605878700064
All,2019,Guatemala,2,29,0.06896551724137931
All,2019,Guam,0,4,0
All,2019,Guinea-Bissau,0,8,0
All,2019,Guyana,0,25,0
All,2019,Hong Kong SAR China,178,6017,0.02958284859564567
All,2019,Honduras,3,21,0.14285714285714285
All,2019,Croatia,34,1090,0.031192660550458717
All,2019,Haiti,0,4,0
All,2019,Hungary,694,2244,0.3092691622103387
All,2019,Indonesia,93,3200,0.0290625
All,2019,Ireland,188,3897,0.04824223761868104
All,2019,Israel,178,6278,0.02835297865562281
All,2019,Isle of Man,0,3,0
All,2019,India,487,48124,0.010119690798769844
All,2019,Iraq,25,1176,0.021258503401360544
All,2019,Iran,223,24605,0.009063198536882748
All,2019,Iceland,32,297,0.10774410774410774
All,2019,Italy,1481,31711,0.04670303680111002
All,2019,Jersey,0,34,0
All,2019,Jamaica,0,71,0
All,2019,Jordan,5,812,0.006157635467980296
All,2019,Japan,2480,36297,0.06832520593988484
All,2019,Kenya,79,387,0.2041343669250646
All,2019,Kyrgyzstan,1,42,0.023809523809523808
All,2019,Cambodia,5,45,0.1111111111111111
All,2019,St. Kitts & Nevis,2,27,0.07407407407407407
All,2019,North Korea,0,7,0
All,2019,South Korea,715,25471,0.02807113972753327
All,2019,Kuwait,5,356,0.014044943820224719
All,2019,Cayman Islands,0,2,0
All,2019,Kazakhstan,16,386,0.04145077720207254
All,2019,Laos,4,14,0.2857142857142857
All,2019,Lebanon,17,876,0.019406392694063926
All,2019,Liechtenstein,1,26,0.038461538461538464
All,2019,Sri Lanka,14,370,0.03783783783783784
All,2019,Liberia,0,2,0
All,2019,Lesotho,2,6,0.3333333333333333
All,2019,Lithuania,26,777,0.03346203346203346
All,2019,Luxembourg,77,408,0.18872549019607843
All,2019,Latvia,12,253,0.04743083003952569
All,2019,Libya,2,66,0.030303030303030304
All,2019,Morocco,22,1887,0.011658717541070483
All,2019,Monaco,2,46,0.043478260869565216
All,2019,Moldova,7,57,0.12280701754385964
All,2019,Montenegro,3,53,0.05660377358490566
All,2019,Madagascar,4,33,0.12121212121212122
All,2019,North Macedonia,5,130,0.038461538461538464
All,2019,Mali,2,31,0.06451612903225806
All,2019,Myanmar (Burma),2,49,0.04081632653061224
All,2019,Mongolia,3,69,0.043478260869565216
All,2019,Macao SAR China,7,500,0.014
All,2019,Martinique,0,30,0
All,2019,Mauritania,1,15,0.06666666666666667
