cr_year,esac_publisher,article_total,tdm_total,orcid_total,funder_total,abstract_total,ref_total,cat
2021,Royal College of General Practitioners,1,0,0,0,1,1,Germany
2020,Bioscientifica,2,2,0,0,2,0,Germany
2017,IOP Publishing,101,101,30,59,2,100,Germany
2022,Microbiology Society,2,0,2,2,2,2,Germany
2017,Company of Biologists,2,0,2,2,2,2,Germany
2021,Trans Tech Publications,2,0,0,0,2,2,Germany
2022,Bristol University Press,2,2,0,0,2,1,Germany
2022,Bentham Science Publishers,2,2,0,1,2,1,Germany
2019,The Electrochemical Society,71,2,70,42,2,71,Germany
2019,European Respiratory Society,4,0,3,2,2,4,Germany
2022,The Geological Society of London,2,0,2,0,2,2,Germany
2022,Association for Computing Machinery,3,2,3,3,2,3,Germany
2017,Portland Press,3,0,0,0,3,3,Germany
2020,Company of Biologists,3,0,3,3,3,3,Germany
2019,Company of Biologists,3,0,3,3,3,3,Germany
2020,European Respiratory Society,14,0,13,7,3,14,Germany
2018,The Geological Society of London,5,0,4,2,3,5,Germany
2021,The Royal Society,4,4,4,4,4,4,Germany
2021,John Benjamins Publishing,4,0,4,0,4,4,Germany
2019,John Benjamins Publishing,4,0,1,0,4,4,Germany
2021,Bioscientifica,5,5,4,0,5,0,Germany
2018,Company of Biologists,5,0,5,4,5,5,Germany
2019,Bentham Science Publishers,15,0,0,1,5,7,Germany
2018,Bioscientifica,6,6,0,0,6,6,Germany
2019,Taylor & Francis,346,159,169,108,6,329,Germany
2021,Bristol University Press,6,6,0,1,6,4,Germany
2019,BMJ Publishing,14,0,14,11,7,14,Germany
2017,Bioscientifica,7,7,0,0,7,7,Germany
2018,Brill,9,9,0,0,8,3,Germany
2022,Bioscientifica,8,8,6,0,8,1,Germany
2020,Taylor & Francis,435,23,261,175,8,409,Germany
2020,John Benjamins Publishing,8,0,5,0,8,8,Germany
2022,John Benjamins Publishing,12,0,2,0,8,10,Germany
2021,European Respiratory Society,15,0,15,8,8,15,Germany
2018,Royal Society of Chemistry,264,0,252,208,264,252,Germany
2018,Wiley,670,670,513,525,9,670,Germany
2018,Portland Press,9,0,5,0,9,9,Germany
2021,Bentham Science Publishers,15,15,7,4,9,5,Germany
2020,Association for Computing Machinery,13,8,10,9,9,13,Germany
2019,Brill,11,11,1,1,10,2,Germany
2019,Portland Press,10,0,10,0,10,10,Germany
2017,National Academy of Sciences,10,0,6,6,10,10,Germany
2022,Taylor & Francis,325,15,245,191,11,312,Germany
2021,Association for Computing Machinery,18,11,17,14,11,18,Germany
2018,Karger,12,12,7,0,12,8,Germany
2022,Wolters Kluwer Health,12,0,12,1,12,12,Germany
2021,Wolters Kluwer Health,18,0,14,4,12,18,Germany
2017,Oxford University Press,94,7,30,49,12,89,Germany
2022,Trans Tech Publications,12,0,8,0,12,12,Germany
2017,Karger,14,14,5,0,14,10,Germany
2021,Taylor & Francis,649,29,467,361,14,626,Germany
2020,IOS Press,33,0,0,0,15,32,Germany
2022,Portland Press,15,0,14,0,15,15,Germany
2020,Bentham Science Publishers,17,8,4,2,15,10,Germany
2022,Brill,17,17,12,1,16,6,Germany
2022,Wiley,4139,4139,3653,2193,16,4073,Germany
2019,Karger,16,16,3,0,16,13,Germany
2019,Trans Tech Publications,16,0,3,0,16,16,Germany
2018,EDP Sciences,35,19,10,5,17,34,Germany
2020,Portland Press,19,0,18,0,19,19,Germany
2017,Cambridge University Press,19,1,5,0,19,19,Germany
2022,Company of Biologists,20,0,19,20,20,20,Germany
2022,Springer Nature,4684,4684,3423,4216,4117,4382,Germany
2022,Karger,24,24,19,0,23,20,Germany
2017,Trans Tech Publications,24,0,2,0,24,0,Germany
